company,fiscal_year,type,revenue_cr,expenses_cr,operating_profit_cr,opm_pct,other_income_cr,depreciation_cr,interest_cr,net_profit_cr,eps,headcount
Wipro,Q1FY22,quarterly,17535,13900,3635,20.7,500,740,120,2972,5.4,
Wipro,Q2FY22,quarterly,19667,15600,4067,20.7,520,760,130,3222,5.8,
Wipro,Q3FY22,quarterly,20313,16100,4213,20.7,530,780,140,3053,5.5,
Wipro,Q4FY22,quarterly,21797,17028,4769,21.9,517,798,143,2983,5.4,
Wipro,Q1FY23,quarterly,21964,17800,4164,19.0,540,810,230,2563,4.6,
Wipro,Q2FY23,quarterly,23158,18800,4358,18.8,560,830,250,2659,4.8,
Wipro,Q3FY23,quarterly,23229,18900,4329,18.6,570,850,260,2674,4.8,
Wipro,Q4FY23,quarterly,22137,18149,3988,18.0,605,850,268,2454,4.4,
Wipro,Q1FY24,quarterly,22831,18627,4204,18.4,640,738,309,2888,5.2,
Wipro,Q2FY24,quarterly,22516,18546,3970,17.6,740,897,303,2667,4.8,
Wipro,Q3FY24,quarterly,22205,18007,4198,18.9,598,932,312,2701,4.9,
Wipro,Q4FY24,quarterly,22208,17828,4380,19.7,653,840,331,2858,5.1,
